name	drugA	drugB	concA	concB	bliss
160	21	263	0.46	10.3	-0.0407436525999998
160	263	281	0	0	0
160	263	281	78	0	0
160	263	281	0	0.46	0
160	263	281	78	0.46	1.4210854715202e-16
160	8	284	0	0	0
160	8	284	0	15.4	0
160	8	284	118.7	0	0
160	8	284	118.7	15.4	0.00180333379082867
160	8	285	0	0	0
160	8	285	0	15.4	0
160	8	285	308.3	0	0
160	8	285	308.3	15.4	7.09860341787305e-05
160	8	37	0	0	0
160	8	37	0	15.4	0
160	8	37	0.95	0	0
160	8	37	0.95	15.4	0.000614636739264398
160	14	21	0	0	0
160	14	21	10.3	0	0
160	14	21	0	334.9	0
160	14	21	10.3	334.9	0
160	268	273	0	0	0
160	268	273	0	86.7	0
160	268	273	178	0	0
160	268	273	178	86.7	0.0337145573521742
160	272	283	0	0	0
160	272	283	0.013	0	0
160	272	283	0	0.0023	0
160	272	283	0.013	0.0023	0.08393016639
160	268	292	0	0	0
160	268	292	89.4	0	0
160	268	292	0	86.7	0
160	268	292	89.4	86.7	0.0381236170160703
160	276	295	0	0	0
160	276	295	0	73.5	0
160	276	295	1.4	0	0
160	276	295	1.4	73.5	-0.0032239215
160	288	291	0	0	0
160	288	291	0	177	0
160	288	291	66.9	0	0
160	288	291	66.9	177	-0.617315134957785
160	21	106	0	0	0
160	21	106	0	10.3	0
160	21	106	9.8	0	0
160	21	106	9.8	10.3	-1.4210854715202e-16
160	8	21	0	0	0
160	8	21	10.3	0	0
160	8	21	0	15.4	0
160	8	21	10.3	15.4	1.4210854715202e-16
160	21	48	0	0	0
160	21	48	0	10.3	0
160	21	48	14	0	0
160	21	48	14	10.3	1.4210854715202e-16
160	21	275	0	0	0
160	21	275	0	10.3	0
160	21	275	16.8	0	0
160	21	275	16.8	10.3	-1.4210854715202e-16
160	269	272	0	0	0
160	269	272	0	19.8	0
160	269	272	0.0023	0	0
160	269	272	0.0023	19.8	0.0487217782
160	274	290	0	0	0
160	274	290	0	63.9	0
160	274	290	41.8	0	0
160	274	290	41.8	63.9	0
160	259	270	0	0	0
160	259	270	1.3	0	0
160	259	270	0	28.3	0
160	259	270	1.3	28.3	0.107438411698011
160	265	274	0	0	0
160	265	274	63.9	0	0
160	265	274	0	0.4	0
160	265	274	63.9	0.4	0
160	276	286	0	0	0
160	276	286	132.6	0	0
160	276	286	0	73.5	0
160	276	286	132.6	73.5	0.272268110198609
160	268	283	0	0	0
160	268	283	0	86.7	0
160	268	283	0.013	0	0
160	268	283	0.013	86.7	0.0481742902517421
160	92	279	0	0	0
160	92	279	81.1	0	0
160	92	279	0	70.6	0
160	92	279	81.1	70.6	-0.2091490968382
160	66	279	0	0	0
160	66	279	81.1	0	0
160	66	279	0	62.5	0
160	66	279	81.1	62.5	0.29129470802403
160	274	285	0	0	0
160	274	285	308.3	0	0
160	274	285	0	63.9	0
160	274	285	308.3	63.9	0
160	37	285	0	0	0
160	37	285	308.3	0	0
160	37	285	0	0.95	0
160	37	285	308.3	0.95	0.0092179139800362
160	290	292	0	0	0
160	290	292	0	41.8	0
160	290	292	89.4	0	0
160	290	292	89.4	41.8	-0.271815624014328
160	63	259	0	0	0
160	63	259	0	0.4	0
160	63	259	28.3	0	0
160	63	259	28.3	0.4	0.0212607878935212
160	41	248	0	0	0
160	41	248	0.1	0	0
160	41	248	0	2.5	0
160	41	248	0.1	2.5	-0.0554153534167592
160	48	248	0	0	0
160	48	248	0.1	0	0
160	48	248	0	14	0
160	48	248	0.1	14	0.0736167968329109
160	248	275	0	0	0
160	248	275	0	0.1	0
160	248	275	16.8	0	0
160	248	275	16.8	0.1	0.00050101961199374
160	14	291	0	0	0
