name	drugA	drugB	concA	concB	hsa
5	164	2015	1e-08	1.4e-05	-0.122068852
198	164	2015	0	0	0
198	164	2015	0	1e-07	0
198	164	2015	0	2.5e-07	0
198	164	2015	0	5e-07	0
198	164	2015	0	1e-06	0
198	164	2015	0	2e-06	0
198	164	2015	0	4e-06	0
198	164	2015	0	6e-06	0.0174413460000001
198	164	2015	0	1e-05	-0.0275315719999999
198	164	2015	0	1.4e-05	-0.360888834
198	164	2015	1e-09	0	-0.915891987
198	164	2015	1e-09	1e-07	-1.002984885
198	164	2015	1e-09	2.5e-07	0
198	164	2015	1e-09	5e-07	0.015871307
198	164	2015	1e-09	1e-06	-0.0132853399999999
198	164	2015	1e-09	2e-06	-0.537038025
198	164	2015	1e-09	4e-06	-0.975000042
198	164	2015	1e-09	6e-06	-1.000078121
198	164	2015	1e-09	1e-05	0
198	164	2015	1e-09	1.4e-05	-0.0104932479999999
198	164	2015	2.5e-09	0	-0.0877457990000001
198	164	2015	2.5e-09	1e-07	-0.670818912
198	164	2015	2.5e-09	2.5e-07	-0.980126916
198	164	2015	2.5e-09	5e-07	-0.990444092
198	164	2015	2.5e-09	1e-06	0
198	164	2015	2.5e-09	2e-06	-0.016009784
198	164	2015	2.5e-09	4e-06	-0.168706555
198	164	2015	2.5e-09	6e-06	-0.85811503
198	164	2015	2.5e-09	1e-05	-0.941854205
198	164	2015	2.5e-09	1.4e-05	-0.944619634
198	164	2015	5e-09	0	0
198	164	2015	5e-09	1e-07	-0.0912940450000001
198	164	2015	5e-09	2.5e-07	-0.640277842
198	164	2015	5e-09	5e-07	-0.898185037
198	164	2015	5e-09	1e-06	-0.904184592
198	164	2015	5e-09	2e-06	-0.904989565
198	164	2015	5e-09	4e-06	0
198	164	2015	5e-09	6e-06	-0.683990764
198	164	2015	5e-09	1e-05	-0.930677291
198	164	2015	5e-09	1.4e-05	-0.523847467
198	164	2015	7.5e-09	0	-0.375615157
198	164	2015	7.5e-09	1e-07	-0.371586996
198	164	2015	7.5e-09	2.5e-07	0
198	164	2015	7.5e-09	5e-07	-0.909449461
198	164	2015	7.5e-09	1e-06	-0.941942056
198	164	2015	7.5e-09	2e-06	-0.529754
198	164	2015	7.5e-09	4e-06	-0.132973587
198	164	2015	7.5e-09	6e-06	-0.127683341
198	164	2015	7.5e-09	1e-05	0
198	164	2015	7.5e-09	1.4e-05	-0.978379622
198	164	2015	1e-08	0	-0.93891675
198	164	2015	1e-08	1e-07	-0.523999241
198	164	2015	1e-08	2.5e-07	-0.062968629
198	164	2015	1e-08	5e-07	-0.03140454
198	164	2015	1e-08	1e-06	0
198	164	2015	1e-08	2e-06	-0.974851346
198	164	2015	1e-08	4e-06	-0.937957992
198	164	2015	1e-08	6e-06	-0.526301145
198	164	2015	1e-08	1e-05	-0.063315727
198	164	2015	1e-08	1.4e-05	-0.009801377
94	164	2015	0	0	0
94	164	2015	0	1e-07	0
94	164	2015	0	2.5e-07	0
94	164	2015	0	5e-07	0
94	164	2015	0	1e-06	0
94	164	2015	0	2e-06	0
94	164	2015	0	4e-06	0
94	164	2015	0	6e-06	0.0333607470000001
94	164	2015	0	1e-05	0.0538578270000001
94	164	2015	0	1.4e-05	-0.00116917999999998
94	164	2015	1e-09	0	0.00571708999999998
94	164	2015	1e-09	1e-07	0.011184822
94	164	2015	1e-09	2.5e-07	0
94	164	2015	1e-09	5e-07	-0.0534037240000001
94	164	2015	1e-09	1e-06	-0.0139069380000001
94	164	2015	1e-09	2e-06	-0.0525680479999998
94	164	2015	1e-09	4e-06	-0.0454855910000001
94	164	2015	1e-09	6e-06	-0.158993343
94	164	2015	1e-09	1e-05	0
94	164	2015	1e-09	1.4e-05	0.00945162900000014
94	164	2015	2.5e-09	0	0.0307343340000001
94	164	2015	2.5e-09	1e-07	-0.0347797409999998
94	164	2015	2.5e-09	2.5e-07	0.00941794399999992
94	164	2015	2.5e-09	5e-07	-0.23398691
94	164	2015	2.5e-09	1e-06	0
94	164	2015	2.5e-09	2e-06	0.0198307420000002
94	164	2015	2.5e-09	4e-06	0.044129095
94	164	2015	2.5e-09	6e-06	-0.038640102
94	164	2015	2.5e-09	1e-05	-0.244258977
94	164	2015	2.5e-09	1.4e-05	-0.423597864
94	164	2015	5e-09	0	0
94	164	2015	5e-09	1e-07	0.0461932200000001
94	164	2015	5e-09	2.5e-07	-0.010838555
94	164	2015	5e-09	5e-07	-0.340311046
94	164	2015	5e-09	1e-06	-0.496727456
94	164	2015	5e-09	2e-06	-0.636999329
94	164	2015	5e-09	4e-06	0
94	164	2015	5e-09	6e-06	-0.31413866
94	164	2015	5e-09	1e-05	-0.403431276
94	164	2015	5e-09	1.4e-05	-0.684207891
