name	drugA	drugB	concA	concB	zip
5	164	2015	1e-08	2.5e-07	-0.244126830658495
5	164	2015	1e-08	5e-07	-0.24924245129974
5	164	2015	1e-08	1e-06	0
5	164	2015	1e-08	2e-06	-0.282246922755357
5	164	2015	1e-08	4e-06	-0.281992836654783
5	164	2015	1e-08	6e-06	-0.278637997606071
5	164	2015	1e-08	1e-05	-0.267955784031389
5	164	2015	1e-08	1.4e-05	-0.252316020544309
198	164	2015	0	0	0
198	164	2015	0	1e-07	0
198	164	2015	0	2.5e-07	0
198	164	2015	0	5e-07	0
198	164	2015	0	1e-06	0
198	164	2015	0	2e-06	0
198	164	2015	0	4e-06	0
198	164	2015	0	6e-06	-3.36255276963016e-05
198	164	2015	0	1e-05	-0.00693925733206058
198	164	2015	0	1.4e-05	-0.225621598539742
198	164	2015	1e-09	0	-0.449398440417754
198	164	2015	1e-09	1e-07	-0.489805798626327
198	164	2015	1e-09	2.5e-07	0
198	164	2015	1e-09	5e-07	-6.34899390341559e-05
198	164	2015	1e-09	1e-06	-0.00696829670191377
198	164	2015	1e-09	2e-06	-0.225624511117926
198	164	2015	1e-09	4e-06	-0.449374617545348
198	164	2015	1e-09	6e-06	-0.48977714813673
198	164	2015	1e-09	1e-05	0
198	164	2015	1e-09	1.4e-05	-0.000412255081194104
198	164	2015	2.5e-09	0	-0.00730742677350463
198	164	2015	2.5e-09	1e-07	-0.225658525039473
198	164	2015	2.5e-09	2.5e-07	-0.449096407223797
198	164	2015	2.5e-09	5e-07	-0.48944255952006
198	164	2015	2.5e-09	1e-06	0
198	164	2015	2.5e-09	2e-06	-0.004649517449852
198	164	2015	2.5e-09	4e-06	-0.0114276295022881
198	164	2015	2.5e-09	6e-06	-0.226071771354437
198	164	2015	2.5e-09	1e-05	-0.445716338565623
198	164	2015	2.5e-09	1.4e-05	-0.485377532420113
198	164	2015	5e-09	0	0
198	164	2015	5e-09	1e-07	-0.0513121749656317
198	164	2015	5e-09	2.5e-07	-0.0568011731022564
198	164	2015	5e-09	5e-07	-0.230622627446676
198	164	2015	5e-09	1e-06	-0.408493487476005
198	164	2015	5e-09	2e-06	-0.440611607902381
198	164	2015	5e-09	4e-06	0
198	164	2015	5e-09	6e-06	-0.291789727391308
198	164	2015	5e-09	1e-05	-0.290635234227264
198	164	2015	5e-09	1.4e-05	-0.254075615183885
198	164	2015	7.5e-09	0	-0.216664290407455
198	164	2015	7.5e-09	1e-07	-0.209908931860915
198	164	2015	7.5e-09	2.5e-07	0
198	164	2015	7.5e-09	5e-07	-0.429278024985455
198	164	2015	7.5e-09	1e-06	-0.424325246701669
198	164	2015	7.5e-09	2e-06	-0.267484398352875
198	164	2015	7.5e-09	4e-06	-0.106989730483787
198	164	2015	7.5e-09	6e-06	-0.078009227046852
198	164	2015	7.5e-09	1e-05	0
198	164	2015	7.5e-09	1.4e-05	-0.48731426342105
198	164	2015	1e-08	0	-0.480758161911119
198	164	2015	1e-08	1e-07	-0.273144482525448
198	164	2015	1e-08	2.5e-07	-0.0606941619050112
198	164	2015	1e-08	5e-07	-0.0223320323173754
198	164	2015	1e-08	1e-06	0
