name	drugA	drugB	concA	concB	loewe
5	164	2015	1e-08	2.5e-07	-0.0592870840144997
5	164	2015	1e-08	5e-07	-0.0943767746827776
5	164	2015	1e-08	1e-06	0
5	164	2015	1e-08	2e-06	-0.00627474068671461
5	164	2015	1e-08	4e-06	-0.021985666661797
5	164	2015	1e-08	6e-06	-0.0309115378510436
5	164	2015	1e-08	1e-05	-0.0522137529017501
5	164	2015	1e-08	1.4e-05	-0.067386460109032
198	164	2015	0	0	0
198	164	2015	0	1e-07	0
198	164	2015	0	2.5e-07	0
198	164	2015	0	5e-07	0
198	164	2015	0	1e-06	0
198	164	2015	0	2e-06	0
198	164	2015	0	4e-06	0
198	164	2015	0	6e-06	0.0544935198216231
198	164	2015	0	1e-05	0.0229207054490715
198	164	2015	0	1.4e-05	0.163528761508964
198	164	2015	1e-09	0	0.0249385804805338
198	164	2015	1e-09	1e-07	-0.987379303392725
198	164	2015	1e-09	2.5e-07	0
198	164	2015	1e-09	5e-07	0.0286870188344031
198	164	2015	1e-09	1e-06	0.0460950081004042
198	164	2015	1e-09	2e-06	0.0468236428209624
198	164	2015	1e-09	4e-06	-0.0292933757339289
198	164	2015	1e-09	6e-06	-0.987257690707885
198	164	2015	1e-09	1e-05	0
198	164	2015	1e-09	1.4e-05	0.0105851438878344
198	164	2015	2.5e-09	0	-0.00690077086416608
198	164	2015	2.5e-09	1e-07	-0.0123219393966247
198	164	2015	2.5e-09	2.5e-07	-0.03790147219929
198	164	2015	2.5e-09	5e-07	-0.990730642414917
198	164	2015	2.5e-09	1e-06	0
198	164	2015	2.5e-09	2e-06	0.0202509697199334
198	164	2015	2.5e-09	4e-06	-0.000695582479792876
198	164	2015	2.5e-09	6e-06	-0.119644779980431
198	164	2015	2.5e-09	1e-05	-0.0295716407615121
198	164	2015	2.5e-09	1.4e-05	-0.981130177824544
198	164	2015	5e-09	0	0
198	164	2015	5e-09	1e-07	0.142765350767943
198	164	2015	5e-09	2.5e-07	-0.129279357931815
198	164	2015	5e-09	5e-07	-0.0877063583561313
198	164	2015	5e-09	1e-06	-0.0233423682852115
198	164	2015	5e-09	2e-06	-0.89216305917561
198	164	2015	5e-09	4e-06	0
198	164	2015	5e-09	6e-06	0.0668413250522684
