156	183	0.001	13.88
156	34	0.038	18.23
156	181	2	84.04
156	173	1.1269	-1.09
156	34	0.1161	17.31
157	34	3.1599	12.26
158	76	2.5	58.88
158	76	1.25	58.85
158	43	5	13.95
158	45	10	68.43
158	184	0.0005	6.74
158	105	0.08	52.39
158	164	0.0003	-7.07
158	45	0.01	0.55
158	34	5	6.92
158	106	0.16	-4.18
158	110	0.0006	-11.44
158	165	0.02	-2.86
157	41	0.002	-1.75
157	181	0.16	-12.83
156	34	0.002	-9.16
158	140	0.16	2.41
157	119	1.25	7.19
157	14	1.25	34.32
157	133	0.16	-3.54
157	32	0.0003	-4.67
158	87	10	88.64
159	167	2.0724	4.68
159	110	0.01	89.36
159	110	0.09	99.04
159	24	0.2157	48.94
157	119	0.16	3.47
159	170	0.2181	60.64
159	171	0.2066	-5.89
159	140	0.6	14.82
159	131	0.0083	19.47
159	172	0.1007	2.84
159	173	0.5955	1.22
159	45	0.0416	44.78
159	45	0.1	48.14
159	45	0.5	56.84
159	174	1.13	84.04
159	175	0.2087	13.55
156	166	6.7498	85.74
159	2	0.3239	44.99
159	2	0.5941	78.97
159	176	1.3	81.77
159	178	0.3089	78.57
159	178	1.6151	83.69
157	102	0.01	-7.05
157	68	0.0003	-6.93
159	77	0.0504	24.98
157	50	0.002	-4.42
157	184	7.5	99.97
159	87	0.0332	32.12
159	87	0.0567	45.2
159	182	0.25	80.62
159	183	0.001	4.86
159	183	0.01	72.14
157	106	2.5	4.68
159	184	0.0021	45.13
159	162	0.0307	57.88
159	162	0.0674	78.3
159	41	7.904	42.95
159	132	3	-4.47
156	179	0.16	-12.3
159	119	0.552	91.32
157	77	0.16	-2.43
158	32	0.0006	1.55
159	165	0.3071	-1.74
157	169	0.001	15.13
159	110	0.03	99.13
159	168	2.63	22.18
159	24	0.0139	-0.19
159	24	0.0294	9.12
159	169	1	-1.87
159	34	0.1161	6.48
159	34	3.1599	14.46
157	76	10	39.49
159	171	0.5699	3.53
159	140	0.154	4.32
159	131	0.0239	24.47
159	172	0.551	3.55
159	172	8.616	0.15
159	173	2.1931	0.58
159	174	0.5	24.32
157	133	5	14.5
159	68	0.1602	-4.95
157	164	0.04	36.71
159	177	0.0162	2.44
159	177	0.6658	27.69
159	177	4	37.98
159	178	7.4095	87.94
159	179	0.9533	75.57
159	76	0.0059	46.42
159	180	2.5	11.39
159	180	5	40.03
159	181	0.67	18.95
159	181	2	75.96
159	182	4	59.93
158	23	0.002	30
159	184	0.0013	25.63
159	184	0.0042	63.71
156	130	1.5396	19.75
157	162	0.0006	-4.67
157	162	0.0003	-11.93
157	43	0.0006	-2.38
157	178	0.02	-0.25
157	11	0.02	31.59
157	52	5	3.01
157	90	0.0006	-3.34
157	52	0.0006	-0.73
157	102	0.002	-5.46
158	88	0.0006	-10.76
157	43	0.08	-2
157	169	0.002	12.69
157	90	0.3	-6.98
157	52	0.63	-7.69
157	88	0.16	-7.2
157	102	0.0006	0.03
157	50	0.004	1.48
157	45	0.04	-5.96
157	11	0.0006	-3.93
157	166	0.005	-2.19
157	169	0.0003	16.14
157	68	2.5	5.76
156	52	2.5	-6.43
156	168	0.002	-2.2
156	184	0.002	35.06
156	184	0.47	98.58
156	165	0.04	-1.18
156	11	0.04	84.38
156	165	1.25	4.44
156	90	2.5	10.56
156	11	1.25	92.74
156	164	0.002	-0.29
156	76	0.02	12.27
156	169	0.04	9.77
156	106	1.25	26.89
156	76	5	61.25
158	119	0.552	61.76
158	116	0.0212	18.37
158	163	5	-14.21
158	132	3	-21.21
158	41	7.904	20.06
158	162	0.0674	79.58
158	41	2.1871	4.81
158	162	0.0307	64.74
158	87	0.0567	75.44
158	182	0.25	4.24
158	183	0.001	-11.64
158	183	0.004	-17.52
158	183	0.01	-14.38
158	106	2.08	14.95
158	184	0.0021	15.74
158	178	0.3089	6.24
158	45	0.0003	-8.51
158	179	4.3128	21.06
158	76	0.0119	57.04
158	77	0.0184	-10.62
158	77	0.0504	-6.38
158	77	1	13.82
158	180	1	-12.74
156	180	0.04	-8.53
158	87	0.0332	69.19
158	2	0.3239	17.08
158	2	0.5941	43.28
156	164	0.005	-1.29
158	68	5	16.97
158	176	0.5	60.85
158	45	0.5	80.07
158	174	1.13	41.52
158	175	0.2087	-8.11
156	26	0.001	7.96
158	131	0.0083	59.64
158	172	0.1007	-13.43
158	173	0.5955	-19.74
158	45	0.0416	58.53
158	45	0.1	75.88
158	171	0.2066	4.25
158	170	0.2181	22.73
158	131	0.0017	28.55
158	24	0.2157	71.31
158	169	2.6008	3.5
158	170	0.0804	12.57
156	170	0.08	-3.62
158	110	0.09	103.4
158	167	0.9872	-11.58
158	167	2.0724	-15.17
158	130	3.9734	28.56
158	68	0.16	1.63
158	166	2.5956	67.23
158	130	0.3639	3.38
158	133	0.0143	-3.76
158	133	0.0569	6.99
158	133	0.5021	18.07
158	34	0.04	-5.69
158	164	0.0192	56.91
158	116	0.0511	39.56
158	163	0.2	-16.18
158	163	1	-16.13
158	162	0.0162	26.7
158	41	0.926	-4.43
158	132	1	-15.34
158	116	0.2649	68.11
158	164	0.0062	3.89
158	88	0.63	-15.83
158	165	1.2531	20.41
158	166	6.7498	57.5
158	168	0.87	-17.25
158	24	0.0139	5.59
158	110	1.25	97.96
158	169	0.1165	-25.72
158	169	1	-19.51
158	34	0.1161	0.61
158	170	0.1381	5.92
158	171	0.5699	21.55
158	171	1.4244	54.8
156	166	0.02	0.13
158	140	1.1616	44.4
158	174	0.13	-21.5
158	131	0.0239	65.26
158	172	8.616	32.29
158	173	2.1931	-8.62
158	175	0.9389	16.94
158	68	1.521	9.62
158	177	0.0162	-24.69
158	177	0.6658	26.46
158	177	4	26.7
158	178	7.4095	16.48
158	179	2.143	33.88
158	180	2.5	7.73
158	14	0.02	-28.36
158	181	0.22	-14.22
158	181	0.67	-9.64
158	181	2	38.57
158	106	0.7687	-21.78
158	184	0.0013	0.04
158	184	0.0042	48.58
159	97	0.02	-16.19
156	52	0.02	-4.47
159	178	0.02	-0.19
156	110	0.005	-11.7
159	97	0.002	-7.1
156	102	0.005	-2.33
159	23	0.002	4.12
159	179	0.16	1.43
159	52	0.002	-0.34
156	24	0.16	-13.17
159	177	0.02	-10.73
156	168	5	13.71
156	169	0.01	10.16
156	43	0.16	1.92
156	76	0.01	-9.98
156	105	0.01	-0.01
159	2	0.16	-4.6
156	50	0.06	8.96
156	106	5	85.07
159	174	0.16	9.41
156	168	0.08	-6.99
156	43	1.25	0.61
159	14	0.002	-11.24
159	140	1.25	10.27
156	32	0.63	54.87
159	140	10	37.32
159	181	1.25	1.39
156	184	0.03	76.64
159	171	1.25	8.35
156	164	0.001	-2.39
159	62	10	-12.87
156	110	0.63	87.13
