name	drugA	drugB	concA	concB	loewe
5	164	2015	1e-08	2.5e-07	-0.0693476029112066
5	164	2015	1e-08	5e-07	-0.0941947130099595
5	164	2015	1e-08	1e-06	0
5	164	2015	1e-08	2e-06	-0.0241203684777462
5	164	2015	1e-08	4e-06	-0.0302056944777462
5	164	2015	1e-08	6e-06	-0.0521541614777462
5	164	2015	1e-08	1e-05	-0.0614285614777462
5	164	2015	1e-08	1.4e-05	-0.0829175754777462
198	164	2015	0	0	0
198	164	2015	0	1e-07	0
198	164	2015	0	2.5e-07	0
198	164	2015	0	5e-07	0
198	164	2015	0	1e-06	0
198	164	2015	0	2e-06	0
198	164	2015	0	4e-06	0
198	164	2015	0	6e-06	0.0490221358939972
198	164	2015	0	1e-05	0.0449160869740707
198	164	2015	0	1.4e-05	0.190452535886563
198	164	2015	1e-09	0	0.0132749067932472
198	164	2015	1e-09	1e-07	-0.972446632336313
198	164	2015	1e-09	2.5e-07	0
198	164	2015	1e-09	5e-07	0.0267818227283607
198	164	2015	1e-09	1e-06	0.0725434998633209
198	164	2015	1e-09	2e-06	0.0697541036906063
198	164	2015	1e-09	4e-06	-0.0264363201865621
198	164	2015	1e-09	6e-06	-0.973052826320306
198	164	2015	1e-09	1e-05	0
198	164	2015	1e-09	1.4e-05	0.0315994232143757
198	164	2015	2.5e-09	0	0.0316017492890914
198	164	2015	2.5e-09	1e-07	0.024001175603771
198	164	2015	2.5e-09	2.5e-07	-0.0326126965697566
198	164	2015	2.5e-09	5e-07	-0.975097542495725
198	164	2015	2.5e-09	1e-06	0
198	164	2015	2.5e-09	2e-06	0.0522975430349256
198	164	2015	2.5e-09	4e-06	0.0875858276466143
198	164	2015	2.5e-09	6e-06	-0.119737657209753
198	164	2015	2.5e-09	1e-05	-0.0298744614650363
198	164	2015	2.5e-09	1.4e-05	-0.956197828694197
198	164	2015	5e-09	0	0
198	164	2015	5e-09	1e-07	0.191486344432152
198	164	2015	5e-09	2.5e-07	-0.0978203167364806
198	164	2015	5e-09	5e-07	-0.0920535443672171
198	164	2015	5e-09	1e-06	-0.0170182594128886
198	164	2015	5e-09	2e-06	-0.825348303217336
198	164	2015	5e-09	4e-06	0
198	164	2015	5e-09	6e-06	0.0897535174550744
198	164	2015	5e-09	1e-05	-0.105346572375359
198	164	2015	5e-09	1.4e-05	-0.028450429353271
198	164	2015	7.5e-09	0	-0.0122697807773097
198	164	2015	7.5e-09	1e-07	-0.354452902318547
198	164	2015	7.5e-09	2.5e-07	0
198	164	2015	7.5e-09	5e-07	-0.0105022496193274
198	164	2015	7.5e-09	1e-06	-0.0462361094421261
198	164	2015	7.5e-09	2e-06	-0.0142101944895759
198	164	2015	7.5e-09	4e-06	-0.00631118170222897
198	164	2015	7.5e-09	6e-06	-0.131326045339991
198	164	2015	7.5e-09	1e-05	0
198	164	2015	7.5e-09	1.4e-05	-0.012275653125639
198	164	2015	1e-08	0	-0.0103681625043401
198	164	2015	1e-08	1e-07	-0.00263392261230066
198	164	2015	1e-08	2.5e-07	-0.00293550461756073
198	164	2015	1e-08	5e-07	-0.0236497587562133
198	164	2015	1e-08	1e-06	0
198	164	2015	1e-08	2e-06	0.00109786859331663
198	164	2015	1e-08	4e-06	-0.00443069466359159
198	164	2015	1e-08	6e-06	-0.00184609691202022
198	164	2015	1e-08	1e-05	-0.00102961346654317
198	164	2015	1e-08	1.4e-05	-0.00813051043471075
94	164	2015	0	0	0
94	164	2015	0	1e-07	0
94	164	2015	0	2.5e-07	0
94	164	2015	0	5e-07	0
94	164	2015	0	1e-06	0
94	164	2015	0	2e-06	0
94	164	2015	0	4e-06	0
94	164	2015	0	6e-06	0.0232195257625801
94	164	2015	0	1e-05	0.00126156447783274
94	164	2015	0	1.4e-05	0.0212079818796632
94	164	2015	1e-09	0	0.0710023117091775
94	164	2015	1e-09	1e-07	0.156246394309174
94	164	2015	1e-09	2.5e-07	0
94	164	2015	1e-09	5e-07	0.0145907463325896
94	164	2015	1e-09	1e-06	0.00517119639725593
94	164	2015	1e-09	2e-06	-0.0295750316385487
94	164	2015	1e-09	4e-06	0.162737914069794
94	164	2015	1e-09	6e-06	-0.0856980651754908
94	164	2015	1e-09	1e-05	0
94	164	2015	1e-09	1.4e-05	-0.0143081706860492
94	164	2015	2.5e-09	0	-0.00557480940481568
94	164	2015	2.5e-09	1e-07	0.0451235643951946
94	164	2015	2.5e-09	2.5e-07	0.223891449725587
94	164	2015	2.5e-09	5e-07	-0.246933604921717
94	164	2015	2.5e-09	1e-06	0
94	164	2015	2.5e-09	2e-06	0.0136782771052682
94	164	2015	2.5e-09	4e-06	0.0228748483675281
94	164	2015	2.5e-09	6e-06	0.0961164616990325
94	164	2015	2.5e-09	1e-05	0.00155268245803768
94	164	2015	2.5e-09	1.4e-05	-0.484381186400263
94	164	2015	5e-09	0	0
94	164	2015	5e-09	1e-07	0.0756369491602639
94	164	2015	5e-09	2.5e-07	0.119066524383322
94	164	2015	5e-09	5e-07	-0.221633626962208
94	164	2015	5e-09	1e-06	-0.476895772391958
94	164	2015	5e-09	2e-06	-0.611341517958171
94	164	2015	5e-09	4e-06	0
94	164	2015	5e-09	6e-06	-0.0336415754617386
94	164	2015	5e-09	1e-05	-0.146458847461739
94	164	2015	5e-09	1.4e-05	-0.385547347461739
94	164	2015	7.5e-09	0	-0.472133964461739
94	164	2015	7.5e-09	1e-07	-0.489570524461739
94	164	2015	7.5e-09	2.5e-07	0
94	164	2015	7.5e-09	5e-07	-0.374830891461739
94	164	2015	7.5e-09	1e-06	-0.410835667461739
94	164	2015	7.5e-09	2e-06	-0.506126212461739
94	164	2015	7.5e-09	4e-06	-0.534797674461739
94	164	2015	7.5e-09	6e-06	-0.520391913461739
94	164	2015	7.5e-09	1e-05	0
94	164	2015	7.5e-09	1.4e-05	-0.492093810461739
94	164	2015	1e-08	0	-0.538019235461739
94	164	2015	1e-08	1e-07	-0.564893208461739
94	164	2015	1e-08	2.5e-07	-0.560486792461739
94	164	2015	1e-08	5e-07	-0.579302925461739
94	164	2015	1e-08	1e-06	0
94	164	2015	1e-08	2e-06	-0.520587419461739
94	164	2015	1e-08	4e-06	-0.529315986461739
94	164	2015	1e-08	6e-06	-0.566290314461739
94	164	2015	1e-08	1e-05	-0.575658047461739
94	164	2015	1e-08	1.4e-05	-0.571645009461739
199	164	2015	0	0	0
199	164	2015	0	1e-07	0
199	164	2015	0	2.5e-07	0
199	164	2015	0	5e-07	0
199	164	2015	0	1e-06	0
199	164	2015	0	2e-06	0
199	164	2015	0	4e-06	0
199	164	2015	0	6e-06	-0.0154565679426423
199	164	2015	0	1e-05	0.0662403473856
199	164	2015	0	1.4e-05	0.0613300425974884
199	164	2015	1e-09	0	0.0351899893057127
199	164	2015	1e-09	1e-07	-0.01480082119006
199	164	2015	1e-09	2.5e-07	0
199	164	2015	1e-09	5e-07	-0.0492911046748719
