name	drugA	drugB	concA	concB	experiments
5	164	2015	1e-08	1.4e-05	0.418472556
198	164	2015	0	0	1
198	164	2015	0	1e-07	1.017309055
198	164	2015	0	2.5e-07	0.957560246
198	164	2015	0	5e-07	0.496280912
198	164	2015	0	1e-06	0.085117442
198	164	2015	0	2e-06	0.032850994
198	164	2015	0	4e-06	0.981825458
198	164	2015	0	6e-06	1.048549547
198	164	2015	0	1e-05	1.008806016
198	164	2015	0	1.4e-05	0.643649212
198	164	2015	1e-09	0	0.104768402
198	164	2015	1e-09	1e-07	0.028161764
198	164	2015	1e-09	2.5e-07	0.981954498
198	164	2015	1e-09	5e-07	1.023956405
198	164	2015	1e-09	1e-06	1.011181271
198	164	2015	1e-09	2e-06	0.471619403
198	164	2015	1e-09	4e-06	0.057069178
198	164	2015	1e-09	6e-06	0.027345554
198	164	2015	1e-09	1e-05	1.026847422
198	164	2015	1e-09	1.4e-05	1.01907753
198	164	2015	2.5e-09	0	0.913275002
198	164	2015	2.5e-09	1e-07	0.353838164
198	164	2015	2.5e-09	2.5e-07	0.03999672
198	164	2015	2.5e-09	5e-07	0.023498729
198	164	2015	2.5e-09	1e-06	0.999179591
198	164	2015	2.5e-09	2e-06	0.988960491
198	164	2015	2.5e-09	4e-06	0.815149164
198	164	2015	2.5e-09	6e-06	0.107578416
198	164	2015	2.5e-09	1e-05	0.027426682
198	164	2015	2.5e-09	1.4e-05	0.025762928
198	164	2015	5e-09	0	0.838783193
198	164	2015	5e-09	1e-07	0.893871669
198	164	2015	5e-09	2.5e-07	0.31972023
198	164	2015	5e-09	5e-07	0.030142188
198	164	2015	5e-09	1e-06	0.024250987
198	164	2015	5e-09	2e-06	0.022516707
198	164	2015	5e-09	4e-06	0.389649918
198	164	2015	5e-09	6e-06	0.348712349
198	164	2015	5e-09	1e-05	0.035176888
198	164	2015	5e-09	1.4e-05	0.027383776
198	164	2015	7.5e-09	0	0.019054747
198	164	2015	7.5e-09	1e-07	0.022354321
198	164	2015	7.5e-09	2.5e-07	0.140406478
198	164	2015	7.5e-09	5e-07	0.099838324
198	164	2015	7.5e-09	1e-06	0.023097999
198	164	2015	7.5e-09	2e-06	0.024370849
198	164	2015	7.5e-09	4e-06	0.02290696
198	164	2015	7.5e-09	6e-06	0.022634304
198	164	2015	7.5e-09	1e-05	0.060972596
198	164	2015	7.5e-09	1.4e-05	0.033925144
198	164	2015	1e-08	0	0.027298015
198	164	2015	1e-08	1e-07	0.027954095
198	164	2015	1e-08	2.5e-07	0.025505671
198	164	2015	1e-08	5e-07	0.031014534
198	164	2015	1e-08	1e-06	0.037807838
198	164	2015	1e-08	2e-06	0.035530795
198	164	2015	1e-08	4e-06	0.027104907
198	164	2015	1e-08	6e-06	0.027209476
198	164	2015	1e-08	1e-05	0.02728236
198	164	2015	1e-08	1.4e-05	0.029062587
94	164	2015	0	0	1
94	164	2015	0	1e-07	1.018087737
94	164	2015	0	2.5e-07	0.986642124
94	164	2015	0	5e-07	1.03087975
94	164	2015	0	1e-06	0.946221445
94	164	2015	0	2e-06	0.759740521
94	164	2015	0	4e-06	0.98091584
94	164	2015	0	6e-06	1.038225421
94	164	2015	0	1e-05	1.016267457
94	164	2015	0	1.4e-05	1.032998678
94	164	2015	1e-09	0	0.974259545
94	164	2015	1e-09	1e-07	0.915350194
94	164	2015	1e-09	2.5e-07	1.033490497
94	164	2015	1e-09	5e-07	1.029594346
94	164	2015	1e-09	1e-06	1.020174733
94	164	2015	1e-09	2e-06	0.981150053
94	164	2015	1e-09	4e-06	1.006039006
94	164	2015	1e-09	6e-06	0.929305136
94	164	2015	1e-09	1e-05	0.982692474
94	164	2015	1e-09	1.4e-05	1.000646399
94	164	2015	2.5e-09	0	1.009379069
94	164	2015	2.5e-09	1e-07	1.043798817
94	164	2015	2.5e-09	2.5e-07	1.006702097
94	164	2015	2.5e-09	5e-07	0.768016708
94	164	2015	2.5e-09	1e-06	1.041192816
94	164	2015	2.5e-09	2e-06	1.027550897
94	164	2015	2.5e-09	4e-06	1.028632913
94	164	2015	2.5e-09	6e-06	1.007140048
94	164	2015	2.5e-09	1e-05	0.760602514
94	164	2015	2.5e-09	1.4e-05	0.529445217
94	164	2015	5e-09	0	1.015768298
94	164	2015	5e-09	1e-07	1.044998653
94	164	2015	5e-09	2.5e-07	1.014447126
94	164	2015	5e-09	5e-07	0.768794221
94	164	2015	5e-09	1e-06	0.513398966
94	164	2015	5e-09	2e-06	0.37881958
94	164	2015	5e-09	4e-06	0.677019887
94	164	2015	5e-09	6e-06	0.724682166
94	164	2015	5e-09	1e-05	0.611864894
94	164	2015	5e-09	1.4e-05	0.372776394
94	164	2015	7.5e-09	0	0.286189777
94	164	2015	7.5e-09	1e-07	0.268753217
94	164	2015	7.5e-09	2.5e-07	0.377123519
94	164	2015	7.5e-09	5e-07	0.38349285
94	164	2015	7.5e-09	1e-06	0.347488074
94	164	2015	7.5e-09	2e-06	0.252197529
94	164	2015	7.5e-09	4e-06	0.223526067
94	164	2015	7.5e-09	6e-06	0.237931828
94	164	2015	7.5e-09	1e-05	0.226795174
94	164	2015	7.5e-09	1.4e-05	0.266229931
94	164	2015	1e-08	0	0.220304506
94	164	2015	1e-08	1e-07	0.193430533
94	164	2015	1e-08	2.5e-07	0.197836949
94	164	2015	1e-08	5e-07	0.179020816
94	164	2015	1e-08	1e-06	0.217993865
94	164	2015	1e-08	2e-06	0.237736322
94	164	2015	1e-08	4e-06	0.229007755
94	164	2015	1e-08	6e-06	0.192033427
94	164	2015	1e-08	1e-05	0.182665694
94	164	2015	1e-08	1.4e-05	0.186678732
199	164	2015	0	0	1
199	164	2015	0	1e-07	1.011093209
199	164	2015	0	2.5e-07	0.950534531
199	164	2015	0	5e-07	0.786842861
199	164	2015	0	1e-06	0.137397094
199	164	2015	0	2e-06	0.059929135
199	164	2015	0	4e-06	1.034666318
199	164	2015	0	6e-06	1.020471807
199	164	2015	0	1e-05	1.045959381
199	164	2015	0	1.4e-05	0.770590374
199	164	2015	1e-09	0	0.16263182
199	164	2015	1e-09	1e-07	0.044183646
199	164	2015	1e-09	2.5e-07	1.027465687
199	164	2015	1e-09	5e-07	0.984497626
199	164	2015	1e-09	1e-06	1.014278215
199	164	2015	1e-09	2e-06	0.526589647
199	164	2015	1e-09	4e-06	0.06135813
199	164	2015	1e-09	6e-06	0.031008152
199	164	2015	1e-09	1e-05	1.004992172
199	164	2015	1e-09	1.4e-05	0.978272592
199	164	2015	2.5e-09	0	0.866940229
199	164	2015	2.5e-09	1e-07	0.245474213
199	164	2015	2.5e-09	2.5e-07	0.045548664
199	164	2015	2.5e-09	5e-07	0.032748839
199	164	2015	2.5e-09	1e-06	1.004416733
199	164	2015	2.5e-09	2e-06	0.873649366
199	164	2015	2.5e-09	4e-06	0.453634446
199	164	2015	2.5e-09	6e-06	0.078901051
199	164	2015	2.5e-09	1e-05	0.038984201
199	164	2015	2.5e-09	1.4e-05	0.032086924
199	164	2015	5e-09	0	0.699392135
199	164	2015	5e-09	1e-07	0.515014059
199	164	2015	5e-09	2.5e-07	0.170306621
199	164	2015	5e-09	5e-07	0.041133533
199	164	2015	5e-09	1e-06	0.027170849
199	164	2015	5e-09	2e-06	0.029036717
199	164	2015	5e-09	4e-06	0.320371293
199	164	2015	5e-09	6e-06	0.137801716
199	164	2015	5e-09	1e-05	0.038849352
199	164	2015	5e-09	1.4e-05	0.028847694
199	164	2015	7.5e-09	0	0.029525042
199	164	2015	7.5e-09	1e-07	0.027292048
199	164	2015	7.5e-09	2.5e-07	0.140033171
199	164	2015	7.5e-09	5e-07	0.060981674
199	164	2015	7.5e-09	1e-06	0.026480668
199	164	2015	7.5e-09	2e-06	0.026561126
199	164	2015	7.5e-09	4e-06	0.029685105
199	164	2015	7.5e-09	6e-06	0.032906787
199	164	2015	7.5e-09	1e-05	0.046087395
199	164	2015	7.5e-09	1.4e-05	0.040364999
199	164	2015	1e-08	0	0.03101708
199	164	2015	1e-08	1e-07	0.032920479
199	164	2015	1e-08	2.5e-07	0.035248166
199	164	2015	1e-08	5e-07	0.032330793
199	164	2015	1e-08	1e-06	0.038094138
199	164	2015	1e-08	2e-06	0.036268243
199	164	2015	1e-08	4e-06	0.033426002
199	164	2015	1e-08	6e-06	0.036723284
199	164	2015	1e-08	1e-05	0.036765068
199	164	2015	1e-08	1.4e-05	0.040229306
200	164	2015	0	0	1
200	164	2015	0	1e-07	0.994434602
200	164	2015	0	2.5e-07	0.961644222
200	164	2015	0	5e-07	0.804745848
200	164	2015	0	1e-06	0.28981587
200	164	2015	0	2e-06	0.175910173
200	164	2015	0	4e-06	0.95203213
200	164	2015	0	6e-06	0.908055745
200	164	2015	0	1e-05	0.980844156
200	164	2015	0	1.4e-05	0.741118173
200	164	2015	1e-09	0	0.156879062
200	164	2015	1e-09	1e-07	0.107944951
200	164	2015	1e-09	2.5e-07	0.980075713
200	164	2015	1e-09	5e-07	0.924637215
200	164	2015	1e-09	1e-06	0.892465261
200	164	2015	1e-09	2e-06	0.715140534
200	164	2015	1e-09	4e-06	0.184695186
200	164	2015	1e-09	6e-06	0.084756183
200	164	2015	1e-09	1e-05	0.905697262
200	164	2015	1e-09	1.4e-05	0.888801857
200	164	2015	2.5e-09	0	0.857925683
200	164	2015	2.5e-09	1e-07	0.522583523
200	164	2015	2.5e-09	2.5e-07	0.089977399
200	164	2015	2.5e-09	5e-07	0.082525509
200	164	2015	2.5e-09	1e-06	0.893739922
200	164	2015	2.5e-09	2e-06	0.907794584
200	164	2015	2.5e-09	4e-06	0.779814457
200	164	2015	2.5e-09	6e-06	0.266699044
200	164	2015	2.5e-09	1e-05	0.079282717
200	164	2015	2.5e-09	1.4e-05	0.070102806
200	164	2015	5e-09	0	0.765069132
200	164	2015	5e-09	1e-07	0.774004639
200	164	2015	5e-09	2.5e-07	0.46796594
200	164	2015	5e-09	5e-07	0.094437429
200	164	2015	5e-09	1e-06	0.066608546
200	164	2015	5e-09	2e-06	0.064572378
200	164	2015	5e-09	4e-06	0.208181067
200	164	2015	5e-09	6e-06	0.131542607
200	164	2015	5e-09	1e-05	0.081339666
200	164	2015	5e-09	1.4e-05	0.061415492
200	164	2015	7.5e-09	0	0.059110406
200	164	2015	7.5e-09	1e-07	0.063832592
200	164	2015	7.5e-09	2.5e-07	0.087540119
200	164	2015	7.5e-09	5e-07	0.07849556
200	164	2015	7.5e-09	1e-06	0.069967157
200	164	2015	7.5e-09	2e-06	0.056027791
200	164	2015	7.5e-09	4e-06	0.062799015
200	164	2015	7.5e-09	6e-06	0.05812701
200	164	2015	7.5e-09	1e-05	0.069107881
200	164	2015	7.5e-09	1.4e-05	0.05864521
200	164	2015	1e-08	0	0.052332168
200	164	2015	1e-08	1e-07	0.051804972
200	164	2015	1e-08	2.5e-07	0.055538948
200	164	2015	1e-08	5e-07	0.053959576
200	164	2015	1e-08	1e-06	0.058164732
200	164	2015	1e-08	2e-06	0.050204987
200	164	2015	1e-08	4e-06	0.041159152
200	164	2015	1e-08	6e-06	0.040071776
200	164	2015	1e-08	1e-05	0.040496806
200	164	2015	1e-08	1.4e-05	0.043531381
201	164	2015	0	0	1
201	164	2015	0	1e-07	1.024682687
201	164	2015	0	2.5e-07	1.067721263
201	164	2015	0	5e-07	0.939261778
201	164	2015	0	1e-06	0.608992607
201	164	2015	0	2e-06	0.518513483
201	164	2015	0	4e-06	0.989244664
201	164	2015	0	6e-06	1.090132841
201	164	2015	0	1e-05	1.084028707
