name	drugA	drugB	concA	concB	hsa
5	164	2015	1e-08	1e-05	-0.286509558
5	164	2015	1e-08	1.4e-05	-0.127442815
198	164	2015	0	0	0
198	164	2015	0	1e-07	0
198	164	2015	0	2.5e-07	0
198	164	2015	0	5e-07	0
198	164	2015	0	1e-06	0
198	164	2015	0	2e-06	0
198	164	2015	0	4e-06	0
198	164	2015	0	6e-06	0.031240492
198	164	2015	0	1e-05	0.0269805580000001
198	164	2015	0	1.4e-05	-0.338176246
198	164	2015	1e-09	0	-0.877057056
198	164	2015	1e-09	1e-07	-0.953663694
198	164	2015	1e-09	2.5e-07	0
198	164	2015	1e-09	5e-07	0.00664735000000022
198	164	2015	1e-09	1e-06	0.029226773
198	164	2015	1e-09	2e-06	-0.510335095
198	164	2015	1e-09	4e-06	-0.92488532
198	164	2015	1e-09	6e-06	-0.954608944
198	164	2015	1e-09	1e-05	0
198	164	2015	1e-09	1.4e-05	-0.00776989200000003
198	164	2015	2.5e-09	0	-0.11357242
198	164	2015	2.5e-09	1e-07	-0.673009258
198	164	2015	2.5e-09	2.5e-07	-0.986850702
198	164	2015	2.5e-09	5e-07	-1.003348693
198	164	2015	2.5e-09	1e-06	0
198	164	2015	2.5e-09	2e-06	-0.0283485639999999
198	164	2015	2.5e-09	4e-06	-0.184030427
198	164	2015	2.5e-09	6e-06	-0.891601175
198	164	2015	2.5e-09	1e-05	-0.971752909
198	164	2015	2.5e-09	1.4e-05	-0.973416663
198	164	2015	5e-09	0	0
198	164	2015	5e-09	1e-07	-0.123437386
198	164	2015	5e-09	2.5e-07	-0.637840016
198	164	2015	5e-09	5e-07	-0.808641005
198	164	2015	5e-09	1e-06	-0.814532206
198	164	2015	5e-09	2e-06	-0.816266486
198	164	2015	5e-09	4e-06	0
198	164	2015	5e-09	6e-06	-0.668596706
198	164	2015	5e-09	1e-05	-0.922383358
198	164	2015	5e-09	1.4e-05	-0.468897136
198	164	2015	7.5e-09	0	-0.370595171
198	164	2015	7.5e-09	1e-07	-0.367295597
198	164	2015	7.5e-09	2.5e-07	0
198	164	2015	7.5e-09	5e-07	-0.917470731
198	164	2015	7.5e-09	1e-06	-0.934462247
198	164	2015	7.5e-09	2e-06	-0.471910063
198	164	2015	7.5e-09	4e-06	-0.117499518
198	164	2015	7.5e-09	6e-06	-0.117772174
198	164	2015	7.5e-09	1e-05	0
198	164	2015	7.5e-09	1.4e-05	-0.983383911
198	164	2015	1e-08	0	-0.930262231
198	164	2015	1e-08	1e-07	-0.468326817
198	164	2015	1e-08	2.5e-07	-0.059611771
198	164	2015	1e-08	5e-07	-0.029958062
198	164	2015	1e-08	1e-06	0
198	164	2015	1e-08	2e-06	-0.98177826
198	164	2015	1e-08	4e-06	-0.930455339
198	164	2015	1e-08	6e-06	-0.469071436
198	164	2015	1e-08	1e-05	-0.057835082
198	164	2015	1e-08	1.4e-05	-0.008745251
94	164	2015	0	0	0
94	164	2015	0	1e-07	0
94	164	2015	0	2.5e-07	0
94	164	2015	0	5e-07	0
94	164	2015	0	1e-06	0
94	164	2015	0	2e-06	0
94	164	2015	0	4e-06	0
94	164	2015	0	6e-06	0.0201376839999998
94	164	2015	0	1e-05	0.0296253330000002
94	164	2015	0	1.4e-05	0.00211892800000001
94	164	2015	1e-09	0	-0.00665629499999994
94	164	2015	1e-09	1e-07	-0.065565646
94	164	2015	1e-09	2.5e-07	0
94	164	2015	1e-09	5e-07	-0.003896151
94	164	2015	1e-09	1e-06	-0.0133157640000002
94	164	2015	1e-09	2e-06	-0.052340444
94	164	2015	1e-09	4e-06	-0.0274514910000001
94	164	2015	1e-09	6e-06	-0.104185361
94	164	2015	1e-09	1e-05	0
94	164	2015	1e-09	1.4e-05	-0.0174413380000001
94	164	2015	2.5e-09	0	0.0227369450000001
94	164	2015	2.5e-09	1e-07	0.0129190670000001
94	164	2015	2.5e-09	2.5e-07	0.024009623
