name	drugA	drugB	concA	concB	experiments
47	2013	332	100	100	0.39
47	2013	332	100	300	0.3
47	2013	332	300	0	1.04
47	2013	332	300	0.3	0.98
47	2013	332	300	1	0.93
47	2013	332	300	3	0.92
47	2013	332	300	10	0.78
47	2013	332	300	30	0.6
47	2013	332	300	100	0.38
47	2013	332	300	300	0.28
47	2013	332	1000	0	0.87
47	2013	332	1000	0.3	0.95
47	2013	332	1000	1	0.86
47	2013	332	1000	3	0.77
47	2013	332	1000	10	0.67
47	2013	332	1000	30	0.44
47	2013	332	1000	100	0.36
47	2013	332	1000	300	0.28
47	2009	332	0	0	0.9761053943
47	2009	332	0	0.3	1.012714629
47	2009	332	0	1	1.026815634
47	2009	332	0	3	0.954130957
47	2009	332	0	10	0.919301029
47	2009	332	0	30	0.6662836215
47	2009	332	0	100	0.3695842353
47	2009	332	0	300	0.3394694701
47	2009	332	1	0	0.9868701996
47	2009	332	1	0.3	1.061467631
47	2009	332	1	1	0.9692105809
47	2009	332	1	3	1.098655141
47	2009	332	1	10	0.8890083331
47	2009	332	1	30	0.5871934403
47	2009	332	1	100	0.3633121794
47	2009	332	1	300	0.3299056967
47	2009	332	3	0	0.921436197
47	2009	332	3	0.3	1.02174461
47	2009	332	3	1	1.025614602
47	2009	332	3	3	0.939318229
47	2009	332	3	10	0.8266436345
47	2009	332	3	30	0.5665979657
47	2009	332	3	100	0.393382462
47	2009	332	3	300	0.3080202248
47	2009	332	10	0	0.9795750423
47	2009	332	10	0.3	1.044208357
47	2009	332	10	1	0.9837119303
47	2009	332	10	3	0.919567925
47	2009	332	10	10	0.8633418345
47	2009	332	10	30	0.578830699
47	2009	332	10	100	0.3516577207
47	2009	332	10	300	0.2894709528
47	2009	332	30	0	1.021522197
47	2009	332	30	0.3	1.035267341
47	2009	332	30	1	1.046877317
47	2009	332	30	3	0.9720574716
47	2009	332	30	10	0.7424824293
47	2009	332	30	30	0.5360828564
47	2009	332	30	100	0.3274146674
47	2009	332	30	300	0.2688309955
47	2009	332	100	0	0.9841567569
47	2009	332	100	0.3	1.00955636
47	2009	332	100	1	1.011691528
47	2009	332	100	3	0.8252646719
47	2009	332	100	10	0.753469648
47	2009	332	100	30	0.4476957979
47	2009	332	100	100	0.2639379022
47	2009	332	100	300	0.2044200943
47	2009	332	300	0	0.8035126479
47	2009	332	300	0.3	0.9075576051
47	2009	332	300	1	0.8349618932
47	2009	332	300	3	0.8695694078
47	2009	332	300	10	0.725845912
47	2009	332	300	30	0.392314878
47	2009	332	300	100	0.2436093236
47	2009	332	300	300	0.2058880223
47	2009	332	1000	0	0.6222457816
47	2009	332	1000	0.3	0.586837579
47	2009	332	1000	1	0.5878161976
47	2009	332	1000	3	0.4816360725
47	2009	332	1000	10	0.5140639364
47	2009	332	1000	30	0.2537958542
47	2009	332	1000	100	0.2252379823
47	2009	332	1000	300	0.2058880223
47	2008	131	0	0	1.162131906
47	2008	131	0	0.03	1.119873373
47	2008	131	0	0.1	1.161687079
47	2008	131	0	0.3	1.100656861
47	2008	131	0	1	1.115469589
47	2008	131	0	3	1.057152813
47	2008	131	0	10	0.9670309303
47	2008	131	0	30	0.9168099997
47	2008	131	1	0	1.117916135
47	2008	131	1	0.03	1.164934314
47	2008	131	1	0.1	1.199363898
47	2008	131	1	0.3	1.141225053
47	2008	131	1	1	1.092294119
47	2008	131	1	3	1.018630824
47	2008	131	1	10	0.9896281249
47	2008	131	1	30	0.9657409329
47	2008	131	3	0	1.123654399
47	2008	131	3	0.03	1.125923015
47	2008	131	3	0.1	1.123565434
47	2008	131	3	0.3	1.03242045
47	2008	131	3	1	1.036068029
47	2008	131	3	3	1.03242045
47	2008	131	3	10	1.016718069
47	2008	131	3	30	0.919968269
47	2008	131	10	0	1.028950802
47	2008	131	10	0.03	1.190111503
47	2008	131	10	0.1	1.093895495
47	2008	131	10	0.3	1.055551437
47	2008	131	10	1	0.9561771596
47	2008	131	10	3	0.9644954183
47	2008	131	10	10	0.9760164289
47	2008	131	10	30	0.8596497731
47	2008	131	30	0	0.9991918982
47	2008	131	30	0.03	1.006042229
47	2008	131	30	0.1	0.9838898609
47	2008	131	30	0.3	1.001327066
47	2008	131	30	1	0.9131179384
47	2008	131	30	3	1.013426352
47	2008	131	30	10	0.9592464636
47	2008	131	30	30	0.8541339225
47	2008	131	100	0	0.9728581596
47	2008	131	100	0.03	0.9888274369
47	2008	131	100	0.1	0.9474140743
47	2008	131	100	0.3	0.8878962664
47	2008	131	100	1	0.9004403784
47	2008	131	100	3	0.9335354823
