name	drugA	drugB	concA	concB	zip
5	164	2015	1e-08	2.5e-07	-0.244493775104474
5	164	2015	1e-08	5e-07	-0.249299559903771
5	164	2015	1e-08	1e-06	0
5	164	2015	1e-08	2e-06	-0.283021073674777
5	164	2015	1e-08	4e-06	-0.282597421287676
5	164	2015	1e-08	6e-06	-0.278326677242902
5	164	2015	1e-08	1e-05	-0.267053628113162
5	164	2015	1e-08	1.4e-05	-0.252169371056083
198	164	2015	0	0	0
198	164	2015	0	1e-07	0
198	164	2015	0	2.5e-07	0
198	164	2015	0	5e-07	0
198	164	2015	0	1e-06	0
198	164	2015	0	2e-06	0
198	164	2015	0	4e-06	0
198	164	2015	0	6e-06	-9.76060586735628e-05
198	164	2015	0	1e-05	-0.0120520406880144
198	164	2015	0	1.4e-05	-0.254491156038649
198	164	2015	1e-09	0	-0.451110974989147
198	164	2015	1e-09	1e-07	-0.488764329490238
198	164	2015	1e-09	2.5e-07	0
198	164	2015	1e-09	5e-07	-0.00024546723757993
198	164	2015	1e-09	1e-06	-0.0121928287182024
198	164	2015	1e-09	2e-06	-0.254488498730665
198	164	2015	1e-09	4e-06	-0.450991982508187
198	164	2015	1e-09	6e-06	-0.488623058433637
198	164	2015	1e-09	1e-05	0
198	164	2015	1e-09	1.4e-05	-0.00140894587743887
198	164	2015	2.5e-09	0	-0.0133006507109863
198	164	2015	2.5e-09	1e-07	-0.254467589110566
198	164	2015	2.5e-09	2.5e-07	-0.45005566365205
198	164	2015	2.5e-09	5e-07	-0.487511435639869
198	164	2015	2.5e-09	1e-06	0
198	164	2015	2.5e-09	2e-06	-0.0109916989141496
198	164	2015	2.5e-09	4e-06	-0.0224249991964648
198	164	2015	2.5e-09	6e-06	-0.254295371315894
198	164	2015	2.5e-09	1e-05	-0.442343865554007
198	164	2015	2.5e-09	1.4e-05	-0.47835578263713
198	164	2015	5e-09	0	0
198	164	2015	5e-09	1e-07	-0.079084423072034
198	164	2015	5e-09	2.5e-07	-0.087260411542161
198	164	2015	5e-09	5e-07	-0.253071633341773
198	164	2015	5e-09	1e-06	-0.38754569443975
198	164	2015	5e-09	2e-06	-0.413297927967126
198	164	2015	5e-09	4e-06	0
198	164	2015	5e-09	6e-06	-0.306187014980574
198	164	2015	5e-09	1e-05	-0.303499229613617
198	164	2015	5e-09	1.4e-05	-0.248990227153715
198	164	2015	7.5e-09	0	-0.204783044746958
198	164	2015	7.5e-09	1e-07	-0.196317221110557
198	164	2015	7.5e-09	2.5e-07	0
198	164	2015	7.5e-09	5e-07	-0.422941812933558
198	164	2015	7.5e-09	1e-06	-0.414668896596953
198	164	2015	7.5e-09	2e-06	-0.246891951872723
198	164	2015	7.5e-09	4e-06	-0.110823675728275
198	164	2015	7.5e-09	6e-06	-0.0847661446748606
198	164	2015	7.5e-09	1e-05	0
198	164	2015	7.5e-09	1.4e-05	-0.481673555578559
198	164	2015	1e-08	0	-0.470591123226346
198	164	2015	1e-08	1e-07	-0.245836446095126
198	164	2015	1e-08	2.5e-07	-0.063558830282572
198	164	2015	1e-08	5e-07	-0.0286520557649348
198	164	2015	1e-08	1e-06	0
198	164	2015	1e-08	2e-06	-0.493271111150932
198	164	2015	1e-08	4e-06	-0.481633893317222
198	164	2015	1e-08	6e-06	-0.245628018993164
198	164	2015	1e-08	1e-05	-0.054225603530057
198	164	2015	1e-08	1.4e-05	-0.0175713992882564
94	164	2015	0	0	0
94	164	2015	0	1e-07	0
94	164	2015	0	2.5e-07	0
